dataset,configuration,target_fpr,seeds,test_fpr_mean,test_fpr_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,average_precision_mean,average_precision_sd
CICIDS2017,rule_only,0.01,5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50305400,0.00000000
CICIDS2017,logistic_regression,0.01,5,0.01271000,0.00946333,0.97229800,0.01797345,0.83567060,0.08249316,0.89655520,0.04571330,0.92723620,0.05939819
CICIDS2017,isolation_forest,0.01,5,0.04095540,0.01027357,0.04593680,0.03911830,0.00403220,0.00319954,0.00738620,0.00585707,0.63105980,0.02482208
CICIDS2017,lightgbm,0.01,5,0.09072900,0.00000000,0.84535800,0.00000000,0.96831700,0.00000000,0.90266900,0.00000000,0.97745500,0.00000000
CICIDS2017,hybrid_logistic_rules,0.01,5,0.00054480,0.00118660,0.99867900,0.00287567,0.73224760,0.07562052,0.84307380,0.05196657,0.86631820,0.03747721
UNSW-NB15,rule_only,0.01,5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41072100,0.00000000
UNSW-NB15,logistic_regression,0.01,5,0.00545740,0.00001878,0.58931060,0.06734115,0.03407880,0.00897003,0.06436920,0.01644507,0.42802240,0.02883158
UNSW-NB15,isolation_forest,0.01,5,0.01086400,0.00052543,0.25282480,0.09324978,0.01672000,0.01056312,0.03129200,0.01921073,0.46406040,0.06070538
UNSW-NB15,lightgbm,0.01,5,0.01001100,0.00000000,0.95604600,0.00000000,0.91498000,0.00000000,0.93506300,0.00000000,0.99149400,0.00000000
UNSW-NB15,hybrid_logistic_rules,0.01,5,0.00545740,0.00001878,0.58931060,0.06734115,0.03407880,0.00897003,0.06436920,0.01644507,0.39887560,0.02186622
